regions,indicators,stations,season,Unit,Date,Value
Dhofar,Average Temperature,Total,Total,degree celsius,2017M5,29.6
Dhofar,Average Temperature,Total,Total,degree celsius,2017M6,30.4
Dhofar,Average Temperature,Total,Total,degree celsius,2017M7,37.9
Dhofar,Average Temperature,Total,Total,degree celsius,2017M8,27.4
Dhofar,Average Temperature,Total,Total,degree celsius,2017M9,26.9
Dhofar,Average Temperature,Total,Total,degree celsius,2017M10,27
Dhofar,Average Temperature,Total,Total,degree celsius,2017M11,24.9
Dhofar,Average Temperature,Total,Total,degree celsius,2017M12,21.5
Dhofar,Average Temperature,Total,Total,degree celsius,2018M1,20.2
Dhofar,Average Temperature,Total,Total,degree celsius,2018M2,22
Dhofar,Average Temperature,Total,Total,degree celsius,2018M3,25
Dhofar,Average Temperature,Total,Total,degree celsius,2018M4,27.9
Dhofar,Average Temperature,Total,Total,degree celsius,2018M5,29.2
Dhofar,Average Temperature,Total,Total,degree celsius,2018M6,27.1
Dhofar,Average Temperature,Total,Total,degree celsius,2018M7,25.7
Dhofar,Average Temperature,Total,Total,degree celsius,2018M8,25
Dhofar,Average Temperature,Total,Total,degree celsius,2018M9,24.2
Dhofar,Average Temperature,Total,Total,degree celsius,2018M10,24.3
Dhofar,Average Temperature,Total,Total,degree celsius,2018M11,23.7
Dhofar,Average Temperature,Total,Total,degree celsius,2018M12,22.4
Dhofar,Average Temperature,Total,Total,degree celsius,2020M1,21.02874739
Dhofar,Average Temperature,Total,Total,degree celsius,2020M2,22.04526758
Dhofar,Average Temperature,Total,Total,degree celsius,2020M3,24.18246928
Dhofar,Average Temperature,Total,Total,degree celsius,2020M4,27.98699378
Dhofar,Average Temperature,Total,Total,degree celsius,2020M5,29.68791493
Dhofar,Average Temperature,Total,Total,degree celsius,2020M6,30.7129432
Dhofar,Average Temperature,Total,Total,degree celsius,2020M7,29.26909298
Dhofar,Average Temperature,Total,Total,degree celsius,2020M8,28.56742681
Dhofar,Average Temperature,Total,Total,degree celsius,2020M9,27.5121446
Dhofar,Average Temperature,Total,Total,degree celsius,2020M10,26.68453928
Dhofar,Average Temperature,Total,Total,degree celsius,2020M11,24.66142966
Dhofar,Average Temperature,Total,Total,degree celsius,2020M12,22.46658038
Dhofar,Average Humidity,Total,Total,%,2011M1,58.9
Dhofar,Average Humidity,Total,Total,%,2011M2,51.7
Dhofar,Average Humidity,Total,Total,%,2011M3,42.6
Dhofar,Average Humidity,Total,Total,%,2011M4,65.8
Dhofar,Average Humidity,Total,Total,%,2011M5,66.6
Dhofar,Average Humidity,Total,Total,%,2011M6,76.8
Dhofar,Average Humidity,Total,Total,%,2011M7,81.1
Dhofar,Average Humidity,Total,Total,%,2011M8,82.4
Dhofar,Average Humidity,Total,Total,%,2011M9,67.1
Dhofar,Average Humidity,Total,Total,%,2011M10,53
Dhofar,Average Humidity,Total,Total,%,2011M11,70.8
Dhofar,Average Humidity,Total,Total,%,2011M12,38.9
Dhofar,Average Humidity,Total,Total,%,2012M1,51.8
Dhofar,Average Humidity,Total,Total,%,2012M2,50.3
Dhofar,Average Humidity,Total,Total,%,2012M3,42.6
Dhofar,Average Humidity,Total,Total,%,2012M4,61.8
Dhofar,Average Humidity,Total,Total,%,2012M5,65.4
Dhofar,Average Humidity,Total,Total,%,2012M6,68.6
Dhofar,Average Humidity,Total,Total,%,2012M7,82.2
Dhofar,Average Humidity,Total,Total,%,2012M8,82.2
Dhofar,Average Humidity,Total,Total,%,2012M9,71
Dhofar,Average Humidity,Total,Total,%,2012M10,51
